Row,Source ID,Category,Title,URL,Alert me when prompt,Cadence,Seasonality,Maintenance,Checked date,Check result,Recheck-by,Source role,Delivery choice,Maintenance owner,Coverage limit
11,10,Regulatory,FDA OPDP untitled letters,https://www.fda.gov/drugs/warning-letters-and-notice-violation-letters-pharmaceutical-companies/untitled-letters,"Alert me when a new OPDP untitled letter is posted for [product or company]. Report the publication date, product, issue, and communication channel where stated, with the source link.",Daily,Evergreen,Test the selected region in your monitoring tool before enabling alerts.,2026-09-12,HTTP 200; monitor suitability untested,Before enabling; before the 17 September session; then at the agreed review cadence,Discovery/listing,Choose every captured edit or IMPORTANT-only after testing the rule,unassigned,Only captured content is compared. Open or separately monitor linked records/documents; review pagination and new pages.
12,11,Congress,ASCO abstracts & presentations,https://meetings.asco.org/abstracts-presentations,"Alert me when [congress and year] adds abstract titles, presentations, or late-breaking sessions matching [topic]. Report the title, abstract or session identifier, posted date if stated, and source link.","Weekly off-season, daily near title/LBA release",Congress milestones,Redirected to ASCO search. Test the selected congress/year/topic view and what is publicly accessible. Replace congress and year in the prompt; no fixed 2027 promise.,2026-09-12,HTTP 200; monitor suitability untested,Before enabling; before the 17 September session; then at the agreed review cadence,Discovery/listing,Choose every captured edit or IMPORTANT-only after testing the rule,unassigned,Only captured content is compared. Open or separately monitor linked records/documents; review pagination and new pages.
13,12,Congress,ESMO Congress 2026 programme,https://www.esmo.org/meeting-calendar/esmo-congress-2026/programme,"Alert me when ESMO Congress 2026 adds, removes, or reschedules a session or abstract matching [topic]. Report the title, identifier, and published old and new details, with the source link.","Weekly, daily in final month before congress",Congress milestones,Verify the loaded programme and any linked abstract surface; the page shell alone is insufficient. Repoint only after confirming the next congress URL.,2026-09-12,HTTP 200; monitor suitability untested,Before enabling; before the 17 September session; then at the agreed review cadence,Discovery/listing,Choose every captured edit or IMPORTANT-only after testing the rule,unassigned,Only captured content is compared. Open or separately monitor linked records/documents; review pagination and new pages.
14,13,Congress,AACR Annual Meeting 2027,https://www.aacr.org/meeting/aacr-annual-meeting-2027/,"Alert me when AACR Annual Meeting 2027 publishes or changes abstract-submission dates, programme details, or late-breaking information. Report the published details and source link.","Monthly until milestones, then weekly",Congress milestones,Test the selected region in your monitoring tool before enabling alerts.,2026-09-12,HTTP 200; monitor suitability untested,Before enabling; before the 17 September session; then at the agreed review cadence,Discovery/listing,Choose every captured edit or IMPORTANT-only after testing the rule,unassigned,Only captured content is compared. Open or separately monitor linked records/documents; review pagination and new pages.
15,14,Market access & HTA,NICE appraisal example (replace with your GID),https://www.nice.org.uk/guidance/indevelopment/gid-ta11221,"Alert me when this NICE appraisal changes status, expected dates, documents, or recommendation. Identify draft or final status, the exact change, and the source date. Keep document maintenance separate from a new recommendation.","Weekly, daily near a decision",Evergreen,Direct GET loaded the project title; web reader returned 403. Confirm the live project status and documents in browser.,2026-09-12,HTTP 200; monitor suitability untested,Before enabling; before the 17 September session; then at the agreed review cadence,Known record,Choose every captured edit or IMPORTANT-only after testing the rule,unassigned,Only captured content is compared. Open or separately monitor linked records/documents; review pagination and new pages.
16,15,Market access & HTA,CDA-AMC reimbursement reviews,https://www.cda-amc.ca/reimbursement-review-reports,"Alert me when a reimbursement review is added or changes status or recommendation for [drug and indication]. Preserve draft or final status, the publication date, and the source link.",Weekly,Evergreen,Test the selected region in your monitoring tool before enabling alerts.,2026-09-12,HTTP 200; monitor suitability untested,Before enabling; before the 17 September session; then at the agreed review cadence,Discovery/listing,Choose every captured edit or IMPORTANT-only after testing the rule,unassigned,Only captured content is compared. Open or separately monitor linked records/documents; review pagination and new pages.
17,16,Market access & HTA,G-BA §35a benefit assessments,https://www.g-ba.de/themen/arzneimittel/arzneimittel-richtlinie-anlagen/nutzenbewertung-35a/,"Alert me when a benefit-assessment resolution is published or revised for [drug and indication]. Report the ingredient, indication, published assessment category, and resolution date. Link to the resolution.","Weekly, daily near a known resolution date",Evergreen,Test the selected region in your monitoring tool before enabling alerts.,2026-09-12,HTTP 200; monitor suitability untested,Before enabling; before the 17 September session; then at the agreed review cadence,Discovery/listing,Choose every captured edit or IMPORTANT-only after testing the rule,unassigned,Only captured content is compared. Open or separately monitor linked records/documents; review pagination and new pages.
18,17,Market access & HTA,ICER assessments,https://icer.org/explore-our-research/assessments/,"Alert me when an assessment in [area] is announced or publishes a draft, evidence report, or final report. Report the stage, publication date, and source link.",Weekly,Evergreen,Test the selected region in your monitoring tool before enabling alerts.,2026-09-12,HTTP 200; monitor suitability untested,Before enabling; before the 17 September session; then at the agreed review cadence,Discovery/listing,Choose every captured edit or IMPORTANT-only after testing the rule,unassigned,Only captured content is compared. Open or separately monitor linked records/documents; review pagination and new pages.
19,18,Market access & HTA,NCCN guideline updates,https://www.nccn.org/updates,"Alert me when a guideline for [tumor type] publishes a new version or update. Identify the version, publication date, and changed section if accessible. Flag unavailable source text for review.",Weekly,Evergreen,Direct GET loaded the page title; web reader failed. Test access and the actual guideline update content in browser.,2026-09-12,HTTP 200; monitor suitability untested,Before enabling; before the 17 September session; then at the agreed review cadence,Discovery/listing,Choose every captured edit or IMPORTANT-only after testing the rule,unassigned,Only captured content is compared. Open or separately monitor linked records/documents; review pagination and new pages.
20,19,Launch & commercial,Pfizer press releases,https://www.pfizer.com/newsroom/press-releases,"Alert me when a new release matches [product or indication] and reports trial data, regulatory action, a partnership, or a launch. Report the announcement date and stated event separately, with the source link.",Daily,Evergreen,Test the selected region in your monitoring tool before enabling alerts.,2026-09-12,HTTP 200; monitor suitability untested,Before enabling; before the 17 September session; then at the agreed review cadence,Discovery/listing,Choose every captured edit or IMPORTANT-only after testing the rule,unassigned,Only captured content is compared. Open or separately monitor linked records/documents; review pagination and new pages.
21,20,Launch & commercial,Lilly webcasts & presentations,https://investor.lilly.com/webcasts-and-presentations,"Alert me when a new investor event or data-readout webcast is announced or its schedule changes. Report the event date, time, topic, and source link; preserve the time zone.",Daily,Evergreen,Direct GET timed out; web reader retrieved the current event listing. Retry in the presenter browser. A timeout does not establish a dead link.,2026-09-12,Direct GET timed out; web reader reached page; monitor suitability untested,Before enabling; before the 17 September session; then at the agreed review cadence,Discovery/listing,Choose every captured edit or IMPORTANT-only after testing the rule,unassigned,Only captured content is compared. Open or separately monitor linked records/documents; review pagination and new pages.
22,21,Commercial messaging & availability,Pfizer homepage campaign messaging,https://www.pfizer.com/,"Alert me when campaign wording, an image, product prominence, a claim, or a call to action changes in the selected region. Identify the visible edit, however small, and report the source link. Describe the message without inferring its commercial effect.",Daily example; choose for the review deadline and plan,Campaign and launch periods,Inspect rotating heroes and regional content. Capture the full relevant message and image. Keep every-edit delivery when small wording or image edits matter.,2026-09-16,Readable primary-source web response; monitor preview still required,Before enabling; then at the agreed review cadence,Page/announcement listing,Choose every captured edit or IMPORTANT-only after testing the rule,unassigned,Only captured content is compared. Monitor linked details separately where needed.
23,22,Commercial messaging & availability,CVS Health service and availability announcements,https://www.cvshealth.com/services,"Alert me when a service or product availability announcement is added or changes for [product or service]. Report the visible headline, stated publication date, location and offer details where shown. Link to the announcement; do not infer current local stock from the listing.",Daily example; choose for the review deadline and plan,Campaign and launch periods,Open or separately monitor linked announcements. Review region and offer scope; a services listing does not establish local stock.,2026-09-16,Readable primary-source web response; monitor preview still required,Before enabling; then at the agreed review cadence,Page/announcement listing,Choose every captured edit or IMPORTANT-only after testing the rule,unassigned,Only captured content is compared. Monitor linked details separately where needed.
